# https://github.com/paiv/fci-breeds/blob/master/fci-breeds.csv
id,name,breed,country
100,WESTPHALIAN DACHSBRACKE,Scent hounds,GERMANY
101,FRENCH BULLDOG,Small Molossian type Dogs,FRANCE
102,KLEINER MÜNSTERLÄNDER,Continental Pointing Dogs,GERMANY
103,GERMAN HUNTING TERRIER,Large and medium sized Terriers,GERMANY
104,GERMAN SPANIEL,Flushing Dogs,GERMANY
105,FRENCH WATER DOG,Water Dogs,FRANCE
106,BLUE PICARDY SPANIEL,Continental Pointing Dogs,FRANCE
107,WIRE-HAIRED POINTING GRIFFON KORTHALS,Continental Pointing Dogs,FRANCE
108,PICARDY SPANIEL,Continental Pointing Dogs,FRANCE
109,CLUMBER SPANIEL,Flushing Dogs,GREAT BRITAIN
110,CURLY COATED RETRIEVER,Retrievers,GREAT BRITAIN
111,GOLDEN RETRIEVER,Retrievers,GREAT BRITAIN
113,BRIARD,Sheepdogs,FRANCE
114,PONT-AUDEMER SPANIEL,Continental Pointing Dogs,FRANCE
115,SAINT GERMAIN POINTER,Continental Pointing Dogs,FRANCE
116,DOGUE DE BORDEAUX,Molossian type,FRANCE
117,DEUTSCH LANGHAAR,Continental Pointing Dogs,GERMANY
118,LARGE MUNSTERLANDER,Continental Pointing Dogs,GERMANY
119,GERMAN SHORT- HAIRED POINTING DOG,Continental Pointing Dogs,GERMANY
120,IRISH RED SETTER,British and Irish Pointers and Setters,IRELAND
121,FLAT COATED RETRIEVER,Retrievers,GREAT BRITAIN
122,LABRADOR RETRIEVER,Retrievers,GREAT BRITAIN
123,FIELD SPANIEL,Flushing Dogs,GREAT BRITAIN
124,IRISH WATER SPANIEL,Water Dogs,IRELAND
125,ENGLISH SPRINGER SPANIEL,Flushing Dogs,GREAT BRITAIN
126,WELSH SPRINGER SPANIEL,Flushing Dogs,GREAT BRITAIN
127,SUSSEX SPANIEL,Flushing Dogs,GREAT BRITAIN
128,KING CHARLES SPANIEL,English Toy Spaniels,GREAT BRITAIN
129,SMÅLANDSSTÖVARE,Scent hounds,SWEDEN
130,DREVER,Scent hounds,SWEDEN
131,SCHILLERSTÖVARE,Scent hounds,SWEDEN
132,HAMILTONSTÖVARE,Scent hounds,SWEDEN
133,FRENCH POINTING DOG - GASCOGNE TYPE,Continental Pointing Dogs,FRANCE
134,FRENCH POINTING DOG - PYRENEAN TYPE,Continental Pointing Dogs,FRANCE
135,SWEDISH LAPPHUND,Nordic Watchdogs and Herders,SWEDEN
136,CAVALIER KING CHARLES SPANIEL,English Toy Spaniels,GREAT BRITAIN
137,PYRENEAN MOUNTAIN DOG,Molossian type,FRANCE
138,PYRENEAN SHEEPDOG - SMOOTH FACED,Sheepdogs,FRANCE
139,IRISH TERRIER,Large and medium sized Terriers,IRELAND
140,BOSTON TERRIER,Small Molossian type Dogs,UNITED STATES OF AMERICA
141,LONG-HAIRED PYRENEAN SHEEPDOG,Sheepdogs,FRANCE
142,SLOVAKIAN CHUVACH,Sheepdogs,SLOVAKIA
143,DOBERMANN,Pinscher and Schnauzer type,GERMANY
144,BOXER,Molossian type,GERMANY
145,LEONBERGER,Molossian type,GERMANY
146,RHODESIAN RIDGEBACK,Related breeds,SOUTH AFRICA
147,ROTTWEILER,Molossian type,GERMANY
148,DACHSHUND,,GERMANY
149,BULLDOG,Molossian type,GREAT BRITAIN
150,SERBIAN HOUND,Scent hounds,SERBIA
151,ISTRIAN SHORT-HAIRED HOUND,Scent hounds,CROATIA
152,ISTRIAN WIRE-HAIRED HOUND,Scent hounds,CROATIA
153,DALMATIAN,Related breeds,CROATIA
154,POSAVATZ HOUND,Scent hounds,CROATIA
155,BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK,Scent hounds,BOSNIA AND HERZEGOVINA
156,COLLIE ROUGH,Sheepdogs,GREAT BRITAIN
157,BULLMASTIFF,Molossian type,GREAT BRITAIN
158,GREYHOUND,Short-haired Sighthounds,GREAT BRITAIN
159,ENGLISH FOXHOUND,Scent hounds,GREAT BRITAIN
160,IRISH WOLFHOUND,Rough-haired Sighthounds,IRELAND
161,BEAGLE,Scent hounds,GREAT BRITAIN
162,WHIPPET,Short-haired Sighthounds,GREAT BRITAIN
163,BASSET HOUND,Scent hounds,GREAT BRITAIN
164,DEERHOUND,Rough-haired Sighthounds,GREAT BRITAIN
165,ITALIAN SPINONE,Continental Pointing Dogs,ITALY
166,GERMAN SHEPHERD DOG,Sheepdogs,GERMANY
167,AMERICAN COCKER SPANIEL,Flushing Dogs,UNITED STATES OF AMERICA
168,DANDIE DINMONT TERRIER,Small sized Terriers,GREAT BRITAIN
169,FOX TERRIER (WIRE),Large and medium sized Terriers,GREAT BRITAIN
170,CASTRO LABOREIRO DOG,Molossian type,PORTUGAL
171,BOUVIER DES ARDENNES,Cattledogs (except Swiss Cattledogs),BELGIUM
172,POODLE,Poodle,FRANCE
173,ESTRELA MOUNTAIN DOG,Molossian type,PORTUGAL
175,FRENCH SPANIEL,Continental Pointing Dogs,FRANCE
176,PICARDY SHEEPDOG,Sheepdogs,FRANCE
177,ARIEGE POINTING DOG,Continental Pointing Dogs,FRANCE
179,BOURBONNAIS POINTING DOG,Continental Pointing Dogs,FRANCE
180,AUVERGNE POINTER,Continental Pointing Dogs,FRANCE
181,GIANT SCHNAUZER,Pinscher and Schnauzer type,GERMANY
182,SCHNAUZER,Pinscher and Schnauzer type,GERMANY
183,MINIATURE SCHNAUZER,Pinscher and Schnauzer type,GERMANY
184,GERMAN PINSCHER,Pinscher and Schnauzer type,GERMANY
185,MINIATURE PINSCHER,Pinscher and Schnauzer type,GERMANY
186,AFFENPINSCHER,Pinscher and Schnauzer type,GERMANY
187,PORTUGUESE POINTING DOG,Continental Pointing Dogs,PORTUGAL
188,SLOUGHI,Short-haired Sighthounds,MOROCCO
189,FINNISH LAPPONIAN DOG,Nordic Watchdogs and Herders,FINLAND
190,HOVAWART,Molossian type,GERMANY
191,BOUVIER DES FLANDRES,Cattledogs (except Swiss Cattledogs),'BELGIUM, FRANCE'
192,KROMFOHRLÄNDER,Kromfohrländer,GERMANY
193,BORZOI - RUSSIAN HUNTING SIGHTHOUND,Long-haired or fringed Sighthounds,RUSSIA
194,BERGAMASCO SHEPHERD DOG,Sheepdogs,ITALY
195,ITALIAN VOLPINO,European Spitz,ITALY
196,BOLOGNESE,Bichons and related breeds,ITALY
197,NEAPOLITAN MASTIFF,Molossian type,ITALY
198,ITALIAN ROUGH-HAIRED SEGUGIO,Scent hounds,ITALY
199,'CIRNECO DELL''ETNA',Primitive type - Hunting Dogs,ITALY
200,ITALIAN SIGHTHOUND,Short-haired Sighthounds,ITALY
201,MAREMMA AND THE ABRUZZES SHEEPDOG,Sheepdogs,ITALY
202,ITALIAN POINTING DOG,Continental Pointing Dogs,ITALY
203,NORWEGIAN HOUND,Scent hounds,NORWAY
204,SPANISH HOUND,Scent hounds,SPAIN
205,CHOW CHOW,Asian Spitz and related breeds,CHINA
206,JAPANESE CHIN,Japan Chin and Pekingese,JAPAN
207,PEKINGESE,Japan Chin and Pekingese,CHINA
208,SHIH TZU,Tibetan breeds,Tibet (China)
209,TIBETAN TERRIER,Tibetan breeds,Tibet (China)
211,CANADIAN ESKIMO DOG,Nordic Sledge Dogs,CANADA
212,SAMOYED,Nordic Sledge Dogs,'NORTHERN RUSSIA, SIBERIA'
213,HANOVERIAN SCENT HOUND,Leash (scent) Hounds,GERMANY
214,HELLENIC HOUND,Scent hounds,GREECE
215,BICHON FRISE,Bichons and related breeds,'BELGIUM, FRANCE'
216,PUDELPOINTER,Continental Pointing Dogs,GERMANY
217,BAVARIAN MOUNTAIN SCENT HOUND,Leash (scent) Hounds,GERMANY
218,CHIHUAHUA,Chihuahueno,MEXICO
219,FRENCH TRICOLOUR HOUND,Scent hounds,FRANCE
220,FRENCH WHITE & BLACK HOUND,Scent hounds,FRANCE
221,FRISIAN WATER DOG,Water Dogs,THE NETHERLANDS
222,STABIJHOUN,Continental Pointing Dogs,THE NETHERLANDS
223,DUTCH SHEPHERD DOG,Sheepdogs,THE NETHERLANDS
224,DRENTSCHE PARTRIDGE DOG,Continental Pointing Dogs,THE NETHERLANDS
225,FILA BRASILEIRO,Molossian type,BRAZIL
226,LANDSEER (EUROPEAN CONTINENTAL TYPE),Molossian type,'GERMANY, SWITZERLAND'
227,LHASA APSO,Tibetan breeds,Tibet (China)
228,AFGHAN HOUND,Long-haired or fringed Sighthounds,AFGHANISTAN
229,SERBIAN TRICOLOUR HOUND,Scent hounds,SERBIA
230,TIBETAN MASTIFF,Molossian type,Tibet (China)
231,TIBETAN SPANIEL,Tibetan breeds,Tibet (China)
232,DEUTSCH STICHELHAAR,Continental Pointing Dogs,GERMANY
233,LITTLE LION DOG,Bichons and related breeds,FRANCE
234,XOLOITZCUINTLE,Primitive type,MEXICO
235,GREAT DANE,Molossian type,GERMANY
236,AUSTRALIAN SILKY TERRIER,Toy Terriers,AUSTRALIA
237,NORWEGIAN BUHUND,Nordic Watchdogs and Herders,NORWAY
238,MUDI,Sheepdogs,HUNGARY
239,HUNGARIAN WIRE-HAIRED POINTER,Continental Pointing Dogs,HUNGARY
240,HUNGARIAN GREYHOUND,Short-haired Sighthounds,HUNGARY
241,HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND,Scent hounds,HUNGARY
242,NORWEGIAN ELKHOUND GREY,Nordic Hunting Dogs,NORWAY
243,ALASKAN MALAMUTE,Nordic Sledge Dogs,UNITED STATES OF AMERICA
244,SLOVAKIAN HOUND,Scent hounds,SLOVAKIA
245,BOHEMIAN WIRE-HAIRED POINTING GRIFFON,Continental Pointing Dogs,CZECH REPUBLIC
246,CESKY TERRIER,Small sized Terriers,CZECH REPUBLIC
247,ATLAS MOUNTAIN DOG (AIDI),Molossian type,MOROCCO
248,PHARAOH HOUND,Primitive type,MALTA
249,MAJORCA MASTIFF,Molossian type,SPAIN
250,HAVANESE,Bichons and related breeds,CUBA
251,POLISH LOWLAND SHEEPDOG,Sheepdogs,POLAND
252,TATRA SHEPHERD DOG,Sheepdogs,POLAND
253,PUG,Small Molossian type Dogs,CHINA
254,ALPINE DACHSBRACKE,Leash (scent) Hounds,AUSTRIA
255,AKITA,Asian Spitz and related breeds,JAPAN
257,SHIBA,Asian Spitz and related breeds,JAPAN
259,JAPANESE TERRIER,Small sized Terriers,JAPAN
260,TOSA,Molossian type,JAPAN
261,HOKKAIDO,Asian Spitz and related breeds,JAPAN
262,JAPANESE SPITZ,Asian Spitz and related breeds,JAPAN
263,CHESAPEAKE BAY RETRIEVER,Retrievers,UNITED STATES OF AMERICA
264,MASTIFF,Molossian type,GREAT BRITAIN
265,NORWEGIAN LUNDEHUND,Nordic Hunting Dogs,NORWAY
266,HYGEN HOUND,Scent hounds,NORWAY
267,HALDEN HOUND,Scent hounds,NORWAY
268,NORWEGIAN ELKHOUND BLACK,Nordic Hunting Dogs,NORWAY
269,SALUKI,Long-haired or fringed Sighthounds,MIDDLE EAST
270,SIBERIAN HUSKY,Nordic Sledge Dogs,UNITED STATES OF AMERICA
271,BEARDED COLLIE,Sheepdogs,GREAT BRITAIN
272,NORFOLK TERRIER,Small sized Terriers,GREAT BRITAIN
273,CANAAN DOG,Primitive type,ISRAEL
274,GREENLAND DOG,Nordic Sledge Dogs,GREENLAND
276,NORRBOTTENSPITZ,Nordic Hunting Dogs,SWEDEN
277,CROATIAN SHEPHERD DOG,Sheepdogs,CROATIA
278,KARST SHEPHERD DOG,Molossian type,SLOVENIA
279,MONTENEGRIN MOUNTAIN HOUND,Scent hounds,MONTENEGRO
281,OLD DANISH POINTING DOG,Continental Pointing Dogs,DENMARK
282,GRAND GRIFFON VENDEEN,Scent hounds,FRANCE
283,COTON DE TULEAR,Bichons and related breeds,MADAGASCAR
284,LAPPONIAN HERDER,Nordic Watchdogs and Herders,FINLAND
285,SPANISH GREYHOUND,Short-haired Sighthounds,SPAIN
286,AMERICAN STAFFORDSHIRE TERRIER,Bull type Terriers,UNITED STATES OF AMERICA
287,AUSTRALIAN CATTLE DOG,Cattledogs (except Swiss Cattledogs),AUSTRALIA
288,CHINESE CRESTED DOG,Hairless Dogs,CHINA
289,ICELANDIC SHEEPDOG,Nordic Watchdogs and Herders,ICELAND
290,BEAGLE HARRIER,Scent hounds,FRANCE
291,EURASIAN,Asian Spitz and related breeds,GERMANY
292,DOGO ARGENTINO,Molossian type,ARGENTINA
293,AUSTRALIAN KELPIE,Sheepdogs,AUSTRALIA
294,OTTERHOUND,Scent hounds,GREAT BRITAIN
295,HARRIER,Scent hounds,GREAT BRITAIN
296,COLLIE SMOOTH,Sheepdogs,GREAT BRITAIN
297,BORDER COLLIE,Sheepdogs,GREAT BRITAIN
298,ROMAGNA WATER DOG,Water Dogs,ITALY
299,GERMAN HOUND,Scent hounds,GERMANY
300,BLACK AND TAN COONHOUND,Scent hounds,UNITED STATES OF AMERICA
301,AMERICAN WATER SPANIEL,Water Dogs,UNITED STATES OF AMERICA
302,IRISH GLEN OF IMAAL TERRIER,Large and medium sized Terriers,IRELAND
303,AMERICAN FOXHOUND,Scent hounds,UNITED STATES OF AMERICA
304,RUSSIAN-EUROPEAN LAIKA,Nordic Hunting Dogs,RUSSIA
305,EAST SIBERIAN LAIKA,Nordic Hunting Dogs,RUSSIA
306,WEST SIBERIAN LAIKA,Nordic Hunting Dogs,RUSSIA
307,AZAWAKH,Short-haired Sighthounds,MALI
